,SOURCE_ID,teff_gspphot,lum_flame,age_flame,mass_flame,radius_flame,evolstage_flame,flags_flame
227,5253603176169745536,4404.4995,0.054684862,,,0.4028235,,21
228,5253603176169747072,5793.7783,0.40013638,,,0.6373347,,21
229,5961457419086559872,4911.9766,206.45265,0.27086926,3.3924177,18.764683,655,11
230,5961457419086566784,4722.7383,0.10493734,,,0.48485598,,21
231,5961457419086566912,4477.281,0.18044241,3.3841805,0.7056095,0.72288877,248,00
232,6030086980760944000,5303.21,6.4845777,3.0821722,1.4413038,3.0655591,489,01
233,6030086980760952064,5157.7866,0.53038174,3.7383099,0.8494563,0.952211,326,00
234,6030086980760955776,4305.8223,0.051256526,,,0.4072108,,21
235,6030087010744021760,5277.026,8.852251,2.1658936,1.6202743,3.572259,489,01
236,6030087010744052352,4842.425,4.9962254,10.968458,1.0211657,3.17621,658,11
237,6030087010747279360,4596.2344,0.25194654,2.9307568,0.76461667,0.78496426,306,01
238,6030087010766883584,5232.1006,0.17160149,,,0.5172725,,21
239,5253749647398416512,4996.453,0.45077375,11.476361,0.7863243,0.89902973,405,00
240,5253749647398445696,6858.627,1.3219513,,,0.8081371,,21
241,5253749647398857728,4928.188,0.11880305,,,0.47580495,,21
242,5253749647399068160,4643.2847,0.26436344,6.538458,0.7631905,0.81801623,364,01
243,5253749647399129728,4239.8623,0.07495242,,,0.5301039,,21
244,5253749651693608576,5130.0166,0.16336223,,,0.5114434,,21
245,5253692167900697600,5734.1694,1.7775701,9.525317,1.0007991,1.3353504,395,00
246,5253692197919775744,9995.521,36.12644,0.25270316,2.3530862,2.006355,168,01
247,5253692197919776512,7657.674,3.8315496,,,1.1131828,,21
248,5253692197919777664,5028.0635,0.1482124,,,0.5145858,,21
249,5253692197923758080,5457.7134,0.2366891,,,0.5595973,,21
250,5253692202235391360,5106.277,32.63868,1.5210658,1.8281306,7.501157,634,12
251,5253692202235393920,4352.8906,0.039884932,,,0.35709003,,21
252,5253692202235409280,4776.3745,0.08398894,,,0.421252,,21
253,5961413404265087104,4952.203,11.382274,1.1544408,1.6155072,2.1826718,227,02
254,5961413408576539392,4390.1,0.19961153,5.4704905,0.70033646,0.7648773,310,00
255,5961413408583130112,4606.733,0.23042758,3.7361047,0.74834275,0.73692864,164,01
256,6030030630836646912,5523.346,1.6099327,12.760654,0.95745516,1.4012172,419,00
257,6030030660777148288,5184.89,4.3182898,4.5245023,1.282041,2.5971491,505,11
258,6030030660817016192,4533.4077,0.059255306,,,0.39919037,,21
259,5253603206196714112,4637.6113,0.08081625,,,0.43917525,,21
260,5253603206220496128,5157.6963,0.21188593,,,0.58430505,,21
261,5253603210490975232,4685.787,0.14828864,2.910788,0.71200097,0.63023514,134,01
262,5961527890907154944,6756.7026,8.359338,1.6858778,1.5658993,2.0948944,253,00
263,5961527890907174528,5530.601,0.7308928,5.559847,0.9384586,0.9229013,249,00
264,5961527890907185792,4792.883,0.44450745,,,0.9935934,430,21
265,5961527890907187072,4656.712,0.22747493,9.06807,0.74772626,0.7576039,247,01
266,5961527890907215104,4631.378,0.7761972,,,1.3609728,402,21
267,5961527890913062400,4488.7295,0.5127547,,,1.1880618,381,20
268,5961527890914758144,4888.1294,0.13067879,,,0.5054754,,21
269,5961527890914758784,7500.556,107.437706,0.6431073,2.384174,5.483518,283,02
270,5961527890914759552,5043.6943,0.15868151,,,0.5306215,,21
271,6030113678284486656,4851.818,0.8111456,,,1.2803428,354,21
272,6030113678284504576,4998.9717,0.38239747,,0.78520066,0.8145566,308,01
273,6030113708266504448,4499.289,0.07086652,,,0.44018385,,21
274,6030113708266512256,5807.522,0.24509299,,,0.5124158,,20
275,6030113708266516480,5020.473,0.106145486,,,0.44625315,,21
276,6030113708266518784,4597.2183,0.038382147,,,0.3172501,,21
277,6030113708266528256,4878.018,4.6616607,9.508218,1.06053,3.0277634,629,11
278,6030113708266533632,4846.414,0.090353936,,,0.4294892,,21
279,5961501919321307648,6321.6523,4.868415,2.794722,1.3703651,1.8141727,285,01
280,5961501919321316608,4634.8726,64.52396,0.5557787,2.6036456,12.5266285,537,11
281,5961501919321317376,4715.4116,12.060515,7.15436,1.1506418,5.3838377,770,11
282,5961501949310793728,4703.2686,0.41024676,,,0.9787627,562,21
283,5961501949310795648,4786.3647,3.9930718,8.516668,1.0898598,2.9184551,599,11
284,5961501949311593472,5058.294,4.974494,4.5660815,1.2853652,2.9073906,566,11
285,5961553729431370624,4730.0864,0.35112816,,,0.89720494,460,21
286,5961553729431383680,7171.4233,4.0219297,,,1.2975429,,21
287,5961553729431419904,5044.736,2.6172214,12.344348,0.9844679,2.1230025,496,10
288,5961553729431430144,4825.351,0.15604158,,,0.56410277,,21
289,5961553729431444096,4593.621,0.12539782,,,0.55960715,,20
290,5961553729438343808,4188.7285,0.122251086,4.586337,0.62332577,0.6941513,268,01
291,5253649080751008000,4338.5737,0.0628725,,,0.4448551,,21
292,5253649080784695424,4523.6797,0.060331713,,,0.4062413,,21
293,5253649080784717952,6473.087,3.0495012,3.5884237,1.2318234,1.5014306,291,00
294,5253649080784718080,4033.9126,0.06141224,,,0.5077914,,21
295,5253649080784719744,4956.3047,0.44084838,6.932393,0.8521345,0.9143773,410,01
296,5253649080784727040,5037.026,0.1408009,,,0.5005143,,21
297,5253649080784736384,5548.5317,0.3440406,,,0.6438417,,21
298,5961457453446330880,4385.429,0.25490004,,,0.89136946,409,21
299,5961457453448002560,3642.5632,0.037624598,,,0.48948646,,21
300,5961457453448004096,4540.536,0.07627088,,,0.51635754,,21
301,5253749651732102272,5419.455,2.3484945,10.729351,1.0140048,1.736922,469,00
302,5253749651732103808,4767.9624,0.09353343,,,0.44777194,,21
303,5253749651732106368,5936.4414,4.2294874,5.0732584,1.2303319,2.154689,459,00
304,5253749651732345088,4800.836,53.72984,6.45437,1.1884823,10.804682,869,12
305,5253749651732345216,6903.353,7.780758,1.5670781,1.5530746,1.9395988,237,00
306,5253749651740300672,7457.015,3.611245,,,1.1375962,,21
307,5253749651740363904,4780.4404,0.07095788,,,0.3964642,,21
308,5253749681758129408,5155.5303,8.326074,6.021398,1.2010006,4.066595,705,12
309,5253749681758130432,6215.354,2.5943651,3.8966467,1.2010597,1.4120626,301,00
310,5253749681758861184,3781.249,0.11047292,,,0.7772963,388,20
311,6030059939640288256,5495.261,88.47591,0.558298,2.5922265,11.4026575,573,12
312,6030059939640289152,4997.8906,0.099951915,,,0.43762246,,21
313,6030059939640293376,4909.957,0.126525,,,0.4953452,,21
314,6030059939640293760,4945.341,0.33419263,3.0646918,0.8060766,0.7883268,310,01
315,6030059939640296704,4647.015,0.07784739,,,0.45919645,,21
316,6030059939640312576,4935.566,0.5585068,,,1.0562837,341,21
317,6030059939640315648,4723.905,0.25667432,3.8405123,0.75393856,0.76540744,310,01
318,6030059939669814528,4787.135,0.8451082,,,1.3375092,357,21
319,6030059939669901312,4854.1333,0.08118848,,,0.41397977,,21
320,6030059969635347968,5089.164,0.16958764,,,0.54707843,,21
321,5253603210490978048,4976.863,0.13614799,,,0.4954576,,21
322,5253603210528816512,4462.239,0.2700394,9.476578,0.69871724,0.8814283,352,00
323,5253603210528819456,5288.159,0.20542096,,,0.5497567,,21
324,5253603210528823424,5794.831,13.0673895,1.8144923,1.7192438,4.2292476,498,12
325,5253603210529449600,7504.8315,26.53546,0.9254397,2.0396304,3.0400841,271,00
326,5253603210529450624,4935.55,0.90762836,,,1.3109865,361,21
327,5253603210529459584,4535.491,0.22414568,,,0.76601267,357,20
328,6030030665153085952,5008.3745,0.8417331,,0.86994714,1.1992686,359,00
329,5961413408624607488,4999.2188,49.505695,0.6206569,2.502809,10.423679,589,12
330,5961413408624613504,6468.6255,12.31953,1.6502128,1.6981575,2.7592835,281,01
331,5961413408624617216,4853.8296,51.54763,0.62219334,2.5015578,10.353367,603,12
332,5253749686092113792,5040.179,3.918147,7.0529804,1.1400285,2.6018884,554,10
333,5253749686092116608,7469.3105,3.5889773,,,1.1305178,,21
334,5253749686092119552,5752.4883,1.7971505,9.913327,0.99966884,1.3397347,400,00
335,5253692202235409536,5757.5464,0.73017395,,,0.8592549,,20
336,5253692202260430208,5471.9487,0.20103517,,,0.5378619,,21
337,5253692202260436608,9488.033,19.304976,,2.0721667,1.6293058,120,01
338,5253692202260438912,5105.0156,0.2149907,,,0.59484094,,21
339,5253692202260443136,5495.421,0.24166194,,,0.56622684,,21
340,5253692232279509376,6676.7983,4.569422,6.50809,1.1651497,2.4808385,480,02
341,5253692232281422208,4785.758,0.069694646,,,0.3920574,,21
342,6030059969635380864,5582.0747,2.5278168,10.409533,1.0133481,1.6993318,454,00
343,6030059969635386112,4460.8623,0.06819617,,,0.44046292,,21
344,6030059969636818432,4727.82,0.08385015,,,0.4346319,,21
345,5961457487805418368,4391.127,0.2606931,13.130499,0.7438802,0.9004507,349,01
346,5961457487805697920,4523.0986,2.5065632,12.807596,0.98293245,3.3414345,649,12
347,5961457487805719936,4050.5447,0.06550868,,,0.52400416,,21
348,5253603240556301184,4892.5645,0.10855032,,,0.46684158,,21
349,5253603240556302848,4493.752,0.07832988,,,0.46497902,,21
350,5253603240556447872,4631.8584,0.6645321,,0.8096465,1.2810581,353,00
351,5253603244849537920,4858.583,0.08001956,,,0.41185823,,21
352,5253603244888540160,4566.5264,0.069266684,,,0.42793062,,21
353,5253649080785068288,3454.4333,0.009829044,,,0.27791932,,20
354,5253649110804826368,4606.4697,0.2300851,3.7720406,0.7414265,0.75193053,251,00
355,5253649110804838656,7040.3965,1.6018245,,,0.83539665,,21
356,5253649110804839680,4707.629,0.15817271,,,0.59581196,,21
357,5253649110804840832,6806.661,32.33134,0.87226653,2.1296945,3.4773026,283,00
358,5253649110805339904,4711.5615,0.10846098,,,0.49440655,,21
359,5253649110837593856,4742.0933,0.087102115,,,0.43826276,,21
360,5961527895286209920,4939.5073,65.49233,0.41345817,2.9013386,11.147719,515,11
361,5961527895286213888,6547.8423,6.613579,1.980236,1.4815345,1.9452093,257,01
362,5961553729482739456,4780.165,0.14529398,,,0.5639898,,21
363,6030087015061120768,4952.807,0.4395892,,,0.89524925,418,21
364,5253749686092125056,6675.4976,7.177971,1.9040123,1.5076065,2.0075154,256,01
365,5253749686092125312,5297.704,0.218729,,,0.5621527,,21
366,5253749716117881984,3724.6868,0.19011971,,,1.0487709,308,20
367,6030030665188272512,4904.3403,0.11061649,,,0.48529235,,21
368,6030030665188275840,5437.0103,5.0657907,3.7768562,1.3446596,2.5636418,473,01
369,6030030665188279296,4959.451,5.3227262,6.3709955,1.1797287,3.1420026,632,11
370,6030030665188284032,4040.076,0.04479339,,,0.4479757,,21
371,6030030665188292864,5360.6626,0.32680473,,,0.67683804,,21
